Fractional Year,,Year,Month,Day,"-90,-80","-80,-70","-70,-60","-60,-50","-50,-40","-40,-30","-30,-20","-20,-10","-10,0","0,10","10,20","20,30","30,40","40,50","50,60","60,70","70,80","80,90"
1887.6548,689450,1887,8,28,0,0,2,13,6,0,0,0,0,0,0,0,0,1,13,4,2,0
1887.6575,689450,1887,8,29,0,4,14,4,1,0,0,0,0,0,2,0,0,7,6,7,0,0
1887.6603,689460,1887,8,30,0,6,0,3,3,0,0,0,0,0,0,0,0,6,10,3,0,0
1887.663,689460,1887,8,31,0,0,4,5,4,0,0,0,0,0,0,0,0,6,3,1,0,0
1887.6658,689460,1887,9,1,0,1,11,9,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1887.6795,689460,1887,9,6,0,1,5,15,13,3,0,0,0,0,0,0,0,1,6,2,1,0
1887.6822,689460,1887,9,7,0,2,15,20,5,0,0,0,0,0,0,0,0,6,2,3,0,0
1887.6849,689460,1887,9,8,0,6,9,0,0,0,0,0,0,0,0,2,1,0,0,4,1,0
1887.6877,689460,1887,9,9,0,0,1,2,1,0,0,0,0,0,0,0,0,1,6,15,7,0
1887.6904,689470,1887,9,10,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,15,7,0
1887.6932,689470,1887,9,11,0,0,1,2,0,0,0,1,1,2,0,0,3,12,28,11,3,0
1887.6959,689470,1887,9,12,0,0,1,1,0,0,0,0,0,0,0,0,4,12,3,12,1,0
1887.6986,689470,1887,9,13,0,1,0,1,0,5,3,0,0,0,0,0,0,5,9,6,0,0
1887.7014,689470,1887,9,14,0,0,3,5,12,4,0,0,0,0,0,0,0,3,4,3,0,0
1887.7041,689470,1887,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1887.7068,689470,1887,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894,691770,1894,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894.0849,691800,1894,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894.1233,691820,1894,2,15,0,7,19,13,7,2,0,0,0,1,0,0,0,1,6,5,7,2
1894.1315,691820,1894,2,18,1,5,14,12,3,0,0,0,0,0,0,0,5,14,13,7,5,1
1894.1342,691820,1894,2,19,1,5,8,4,3,1,0,0,0,0,0,0,5,7,6,6,9,1
1894.137,691820,1894,2,20,0,2,2,14,12,2,0,0,0,0,0,0,0,3,19,14,10,1
1894.1397,691820,1894,2,21,0,5,7,8,1,3,0,0,0,2,1,1,3,17,26,21,2,0
1894.1425,691820,1894,2,22,3,7,13,11,8,0,0,0,4,0,0,0,3,25,14,1,3,0
1894.1452,691820,1894,2,23,2,2,12,9,10,5,1,0,0,0,0,0,5,13,12,4,1,0
1894.1507,691830,1894,2,25,1,1,9,12,8,10,2,0,0,0,0,0,0,2,17,12,7,0
1894.1562,691830,1894,2,27,1,7,16,22,12,3,0,0,0,0,0,0,2,13,10,2,0,0
1894.1589,691830,1894,2,28,0,8,22,16,28,11,1,2,0,0,0,0,0,0,1,3,1,0
1894.1616,691830,1894,3,1,3,12,18,13,31,11,0,0,0,0,0,0,0,0,5,6,4,0
1894.1644,691830,1894,3,2,1,6,18,29,12,5,2,1,0,0,0,0,0,3,7,12,4,0
1894.1726,691830,1894,3,5,0,3,4,12,15,2,0,0,0,0,0,1,1,5,16,14,7,1
1894.1808,691840,1894,3,8,0,3,6,13,6,0,0,0,0,0,0,0,2,10,16,9,1,0
1894.1836,691840,1894,3,9,1,6,6,7,6,1,1,0,0,0,0,0,0,11,7,4,6,0
1894.189,691840,1894,3,11,0,2,4,16,11,1,0,0,0,0,0,0,0,4,17,10,2,0
1894.1918,691840,1894,3,12,0,2,7,6,4,2,0,0,0,0,0,0,1,10,2,4,1,0
1894.1945,691840,1894,3,13,1,4,9,21,12,4,0,0,0,2,0,0,2,2,13,2,0,0
1894.5808,691980,1894,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894.6192,692000,1894,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1894.663,692010,1894,8,31,0,1,4,0,0,0,0,0,0,0,0,1,15,24,23,15,1,0
1894.6658,692010,1894,9,1,1,3,5,7,3,4,0,0,0,2,0,8,10,20,19,9,6,1
1894.6685,692020,1894,9,2,1,2,8,5,6,4,4,1,0,0,2,2,10,10,8,16,3,0
1894.6712,692020,1894,9,3,0,2,5,12,27,12,6,0,0,2,0,1,2,13,21,10,5,0
1894.6822,692020,1894,9,7,0,7,19,24,17,10,0,0,0,0,1,0,0,7,10,19,8,0
1894.6849,692020,1894,9,8,0,5,13,17,18,2,1,0,1,0,0,0,2,6,21,20,3,0
1894.6877,692020,1894,9,9,2,5,10,18,5,3,2,0,0,0,1,3,8,26,15,10,4,0
1894.6904,692020,1894,9,10,0,7,13,11,21,14,1,0,0,0,0,0,3,7,14,13,4,1
1894.6932,692020,1894,9,11,0,3,6,15,6,5,0,0,0,0,0,0,3,11,8,11,2,0
1894.6959,692020,1894,9,12,0,4,11,8,12,9,0,0,0,1,0,0,4,4,8,6,6,0
1894.6986,692030,1894,9,13,4,3,7,14,16,5,0,0,0,0,0,0,3,11,10,20,3,0
1894.7014,692030,1894,9,14,0,4,7,4,2,0,0,0,0,0,0,0,0,10,9,10,4,0
1894.7041,692030,1894,9,15,1,2,3,15,22,11,0,0,1,0,0,0,6,13,20,14,1,0
1895.0849,692170,1895,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895.1233,692180,1895,2,15,0,0,1,11,13,8,0,0,0,0,0,0,2,5,8,15,11,2
1895.126,692180,1895,2,16,0,0,9,14,9,4,1,0,0,0,0,1,0,10,19,12,14,4
1895.1288,692180,1895,2,17,0,2,10,8,9,2,0,0,0,0,1,0,6,15,22,15,6,0
1895.1342,692180,1895,2,19,1,4,7,8,19,0,1,0,0,0,0,0,5,8,6,7,1,0
1895.137,692190,1895,2,20,0,1,8,14,3,2,0,1,0,0,0,0,0,2,9,11,0,0
1895.1397,692190,1895,2,21,0,7,6,8,13,1,0,0,0,0,0,0,3,2,4,6,9,0
1895.1425,692190,1895,2,22,0,2,6,8,4,2,0,0,0,0,0,1,1,0,11,6,1,3
1895.1452,692190,1895,2,23,0,6,4,4,14,2,1,1,0,1,1,0,0,10,7,5,4,0
1895.1479,692190,1895,2,24,1,0,12,23,23,2,2,1,0,0,0,1,5,7,15,6,2,0
1895.1534,692190,1895,2,26,2,9,9,12,3,0,0,0,0,0,0,0,0,0,7,10,3,0
1895.1562,692190,1895,2,27,2,5,13,10,0,0,0,0,0,0,0,0,0,13,23,7,1,0
1895.1589,692190,1895,2,28,2,9,4,3,10,1,0,0,0,0,0,0,15,14,6,1,1,0
1895.1616,692200,1895,3,1,1,2,8,14,8,8,0,0,0,0,0,1,0,0,2,3,8,2
1895.1644,692200,1895,3,2,1,5,6,5,5,1,2,0,0,0,0,0,0,0,5,14,7,0
1895.1671,692200,1895,3,3,0,2,16,12,22,8,1,0,0,0,0,0,5,12,21,11,1,0
1895.1699,692200,1895,3,4,1,5,7,7,4,0,0,0,0,0,0,0,1,3,3,0,0,0
1895.1726,692200,1895,3,5,2,10,15,12,7,0,0,2,0,1,1,0,7,1,2,7,3,3
1895.1753,692200,1895,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1895.1781,692200,1895,3,7,0,7,15,13,14,1,0,0,0,0,0,0,0,6,16,14,4,0
1895.1808,692200,1895,3,8,0,7,16,17,8,5,2,0,0,0,0,0,2,16,15,4,4,2
1895.1836,692200,1895,3,9,0,6,9,1,0,0,0,0,0,0,0,0,0,3,0,4,4,0
1895.1863,692200,1895,3,10,1,5,3,6,21,11,5,0,0,0,1,0,2,2,10,13,2,0
1895.189,692200,1895,3,11,0,0,7,13,13,1,0,0,2,0,1,0,0,1,1,1,8,0
1895.1918,692210,1895,3,12,0,7,12,4,4,0,0,1,0,0,0,0,0,3,6,14,4,1
1895.2,692210,1895,3,15,0,1,15,21,11,3,0,0,0,0,0,0,0,3,14,12,9,1
1895.2027,692210,1895,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895.5808,692350,1895,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1895.6192,692360,1895,8,15,1,5,13,12,5,0,0,0,0,0,0,0,2,10,26,16,6,0
1895.6219,692360,1895,8,16,3,9,15,7,7,0,0,1,0,0,0,0,5,14,17,16,0,0
1895.6247,692360,1895,8,17,2,5,8,9,6,2,0,0,0,0,0,0,4,15,12,6,3,0
1895.6274,692360,1895,8,18,0,4,4,10,4,5,1,0,0,0,1,0,3,7,4,12,5,0
1895.6301,692370,1895,8,19,0,5,10,12,11,0,1,0,0,0,0,0,2,7,7,12,3,0
1895.6329,692370,1895,8,20,0,3,6,16,8,1,0,0,0,0,0,0,3,6,13,9,5,1
1895.6356,692370,1895,8,21,2,4,12,16,6,0,1,1,1,0,0,0,3,5,12,6,1,0
1895.6384,692370,1895,8,22,1,2,9,4,5,2,1,0,0,0,0,2,1,6,10,9,5,0
1895.6411,692370,1895,8,23,0,5,5,17,24,0,1,0,0,0,0,0,0,5,9,17,1,0
1895.6438,692370,1895,8,24,0,1,13,17,6,2,2,0,0,0,1,1,0,7,11,10,4,1
1895.6466,692370,1895,8,25,1,11,14,17,2,0,0,0,0,1,0,0,0,1,6,7,5,0
1895.6493,692370,1895,8,26,1,11,14,7,5,1,0,0,1,0,0,0,4,3,10,7,6,0
1895.6521,692370,1895,8,27,2,8,8,7,9,7,0,0,0,2,0,0,3,3,9,13,6,2
1895.6548,692380,1895,8,28,0,1,4,6,1,0,0,0,0,0,0,0,0,1,6,4,4,0
1895.6575,692380,1895,8,29,0,4,3,2,0,0,0,0,0,0,0,0,1,6,5,5,6,0
1895.6603,692380,1895,8,30,0,2,4,2,1,0,0,0,0,0,0,0,0,4,7,17,8,2
1895.663,692380,1895,8,31,0,2,3,5,2,2,0,0,0,0,0,0,10,15,17,15,6,0
1895.6658,692380,1895,9,1,0,3,6,11,6,2,0,0,0,0,0,2,8,14,10,8,4,0
1895.6685,692380,1895,9,2,1,2,2,1,5,1,0,0,0,0,0,0,3,7,6,12,5,1
1895.6712,692380,1895,9,3,0,0,3,5,8,3,1,0,2,1,1,1,3,3,14,5,1,0
1895.674,692380,1895,9,4,0,3,5,5,7,7,0,0,0,0,0,0,9,18,9,4,2,0
1895.6767,692380,1895,9,5,0,3,6,11,2,0,0,0,1,0,0,1,6,2,2,6,3,0
1895.6795,692380,1895,9,6,0,3,3,5,0,2,0,0,0,0,0,0,0,0,3,5,5,1
1895.6822,692380,1895,9,7,0,3,10,11,11,4,3,0,0,1,0,0,1,4,21,24,10,0
1895.6849,692390,1895,9,8,0,5,11,23,23,5,0,0,0,0,0,0,0,12,17,14,0,0
1895.6877,692390,1895,9,9,1,6,16,19,15,1,0,0,0,0,0,0,8,15,15,2,4,2
1895.6904,692390,1895,9,10,1,12,14,13,11,2,0,0,0,0,1,0,0,0,7,17,9,2
1895.6932,692390,1895,9,11,0,7,12,7,4,0,0,0,0,2,1,0,0,4,15,16,10,2
1895.7014,692390,1895,9,14,1,4,7,9,0,0,0,0,0,0,0,8,8,13,11,7,4,0
1895.7041,692390,1895,9,15,0,3,5,2,8,5,0,0,0,0,0,2,1,3,10,7,3,0
1896.1257,692550,1896,2,16,0,2,5,3,12,4,0,0,0,0,0,0,0,0,0,2,0,0
1896.1284,692550,1896,2,17,1,2,8,13,9,3,0,2,0,0,0,0,1,1,3,5,0,0
1896.1311,692550,1896,2,18,0,6,11,15,8,8,1,0,0,1,1,1,1,5,5,9,7,0
1896.1339,692550,1896,2,19,1,2,10,10,2,0,1,0,1,2,0,1,1,9,15,13,8,0
1896.1475,692560,1896,2,24,0,3,4,5,6,9,1,0,0,0,0,0,0,0,8,4,1,1
1896.1639,692560,1896,3,1,3,6,14,17,10,0,0,0,0,0,0,0,0,2,4,2,5,0
1896.1694,692560,1896,3,3,0,7,14,9,9,0,0,0,0,0,3,0,0,8,9,11,5,0
1896.1885,692570,1896,3,10,1,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1896.1913,692570,1896,3,11,0,1,3,10,13,0,0,0,0,0,0,0,0,2,1,2,0,0
